RANK,NAME,NET WORTH,AGE,STATE,SOURCE,PHILANTHROPY SCORE,INDUSTRY,Self-Made Score,Source of Wealth,Residence,Citizenship,Marital Status,Children,Education,Age,Philanthropy Score,Wealth History,Agent,Agency,Lifetime Giving,Giving as a percentage of net worth
192,Stewart Resnick,$5.6 B,86,California,Agriculture,3,FOOD & BEVERAGE,3,Pest control,"Atlanta, Georgia",United States,Divorced,4,"Bachelor of Arts/Science, University of Tennessee Chattanooga",79,2,"$2.3B : March 2015
$2.5B : March 2016
$3.6B : March 2017
$4.3B : March 2018
$4.3B : March 2019
$3.6B : April 2020
$5.2B : April 2021
$5.3B : April 2022
$5.3B : April 2023
$6.4B : April 2024
",,,,
192,Gary Rollins,$5.6 B,79,Georgia,Pest control,2,SERVICE,9,"Pipelines, Self Made","Dallas, Texas",United States,Married,1,"Bachelor of Arts/Science, University of Texas Arlington",68,2,"$6.2B : March 2015
$1.7B : March 2016
$4.5B : March 2017
$4.1B : March 2018
$4.1B : March 2019
$2.2B : April 2020
$3.4B : April 2021
$4B : April 2022
$4.9B : April 2023
$6B : April 2024
",,,,
192,Kelcy Warren,$5.6 B,67,Texas,Pipelines,2,ENERGY,1,Cargill,"Rancho Santa Fe, California",United States,Divorced,2,,62,1,"$3.7B : March 2015
$3.6B : March 2016
$4.3B : March 2017
$4.7B : March 2018
$4.3B : March 2019
$3B : April 2020
$4B : April 2021
$5.5B : April 2022
$4.3B : April 2023
$4.6B : April 2024
",,,,
201,Gwendolyn Sontheim Meyer,$5.5 B,61,California,Cargill,1,FOOD & BEVERAGE,9,"Venture capital, Self Made","Steamboat Springs, Colorado",United States,Married,3,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, University of Southern California; Master of Science, University of Southern California",64,2,"$1.7B : March 2015
$1.8B : March 2016
$2.1B : March 2017
$2.5B : March 2018
$2.4B : March 2019
$2.5B : April 2020
$3.7B : April 2021
$4.5B : April 2022
$3.9B : April 2023
$6.5B : April 2024
",,,,
201,Mark Stevens,$5.5 B,63,Colorado,Venture capital,2,FINANCE & INVESTMENTS,8,"Telecom, Self Made","Boston, Massachusetts",United States,Married,,"Bachelor of Arts/Science, Connecticut College",58,3,"$3.2B : April 2022
$5B : April 2023
$5.4B : April 2024
",,,,
203,"Robert Hale, Jr.",$5.4 B,57,Massachusetts,Telecom,3,TELECOM,4,"Oil, investments","Fort Worth, Texas",United States,Married,4,"Master of Business Administration, Stanford University; Bachelor of Arts/Science, Yale University",76,2,"$2.7B : March 2015
$2.8B : March 2016
$4B : March 2017
$4.9B : March 2018
$4.9B : March 2019
$4.5B : April 2020
$5.1B : April 2021
$5.1B : April 2022
$5B : April 2023
$5.3B : April 2024
",,,,
204,Robert Bass,$5.3 B,75,Texas,"Oil, investments",2,ENERGY,1,New Orleans Saints,"New Orleans, Louisiana",United States,Widowed,,"High School Graduate, High School",77,2,"$2.9B : March 2019
$3.2B : April 2020
$3.4B : April 2021
$3.8B : April 2022
$4.7B : April 2023
$6.1B : April 2024
",,,,
204,Gayle Benson,$5.3 B,76,Louisiana,New Orleans Saints,2,SPORTS,7,"Real estate, Self Made","Los Angeles, California",United States,Married,4,"Doctor of Jurisprudence, Pepperdine University; Bachelor of Arts/Science, University of Southern California",65,2,"$3.5B : March 2016
$3.8B : March 2017
$3.9B : March 2018
$4B : March 2019
$3.4B : April 2020
$4.2B : April 2021
$4.3B : April 2022
$5.3B : April 2023
$5.3B : April 2024
",,,,
204,Rick Caruso,$5.3 B,64,California,Real estate,2,REAL ESTATE,9,"IT provider, Self Made","Austin, Texas",United States,Divorced,2,"Bachelor of Arts/Science, Amherst College; Master of Business Administration, Harvard Business School",65,1,"$1.6B : March 2017
$1.6B : March 2018
$2.1B : March 2019
$3B : April 2020
$3.2B : April 2021
$4.1B : April 2022
$4.8B : April 2023
$5.3B : April 2024
",,,,
204,Thai Lee,$5.3 B,64,Texas,IT provider,1,TECHNOLOGY,3,Supermarkets,"Grand Rapids, Michigan",United States,Divorced,1,,70,2,"$4.6B : April 2023
$5.5B : April 2024
",,,,
204,Doug Meijer & family,$5.3 B,69,Michigan,Supermarkets,2,FASHION & RETAIL,3,Supermarkets,"Grand Rapids, Michigan",United States,Married,3,,72,2,"$4.6B : April 2023
$5.5B : April 2024
",,,,
204,Hank Meijer & family,$5.3 B,71,Michigan,Supermarkets,2,FASHION & RETAIL,3,Supermarkets,"Grand Rapids, Michigan",United States,,,,66,2,"$4.6B : April 2023
$5.5B : April 2024
",,,,
204,Mark Meijer & family,$5.3 B,65,Michigan,Supermarkets,2,FASHION & RETAIL,8,"Online media, Dallas Mavericks, Self Made","Dallas, Texas",United States,Married,3,"Bachelor of Arts/Science, Indiana University",66,1,"$3B : March 2015
$3.2B : March 2016
$3.4B : March 2017
$3.7B : March 2018
$4.1B : March 2019
$4.3B : April 2020
$4.4B : April 2021
$4.7B : April 2022
$4.6B : April 2023
$5.4B : April 2024
",,,,
211,Mark Cuban,$5.2 B,65,Texas,"Online media, Dallas Mavericks",1,MEDIA & ENTERTAINMENT,1,Dolby Laboratories,"San Francisco, California",United States,Widowed,2,"Bachelor of Arts/Science, Heidelberg University",83,3,"$3.2B : March 2015
$3B : March 2016
$3.5B : March 2017
$4B : March 2018
$4.1B : March 2019
$3.6B : April 2020
$5.5B : April 2021
$4.6B : April 2022
$4.9B : April 2023
$5.1B : April 2024
",,,,
211,Dagmar Dolby & family,$5.2 B,82,California,Dolby Laboratories,3,TECHNOLOGY,9,"Timberland, lumber mills, Self Made","Redding, California",United States,Married,3,"Diploma, High School",95,2,"$3.6B : March 2015
$3.6B : March 2016
$3.7B : March 2017
$4.2B : March 2018
$3.8B : March 2019
$2.5B : April 2020
$3.2B : April 2021
$3.4B : April 2022
$5.5B : April 2023
$5.4B : April 2024
",,,,
211,Archie Aldis Emmerson & family,$5.2 B,94,California,"Timberland, lumber mills",2,MANUFACTURING,2,Insurance,"Erie, Pennsylvania",United States,Widowed,2,"Bachelor of Arts/Science, Ohio State University",88,2,"$1.9B : March 2017
$2B : March 2018
$2.8B : March 2019
$3.1B : April 2020
$4.3B : April 2021
$3.2B : April 2022
$4.2B : April 2023
$7.6B : April 2024
",,,,
211,Thomas Hagen,$5.2 B,87,Pennsylvania,Insurance,2,FINANCE & INVESTMENTS,8,"Money management, Self Made","New York, New York",United States,Married,2,"Bachelor of Arts/Science, Bucknell University",81,1,"$2.1B : March 2015
$2B : March 2016
$2.2B : March 2017
$2.2B : March 2018
$2.2B : March 2019
$2.3B : April 2020
$4.5B : April 2021
$4.5B : April 2022
$5B : April 2023
$5.1B : April 2024
",,,,
215,Ron Baron,$5.1 B,80,New York,Money management,1,FINANCE & INVESTMENTS,8,"New Balance, Self Made","Newton, Massachusetts",United States,Married,2,"Bachelor of Arts/Science, Middlebury College",81,2,"$3.6B : March 2015
$4.9B : March 2016
$5.1B : March 2017
$5.3B : March 2018
$5.6B : March 2019
$4.7B : April 2020
$6.9B : April 2021
$5.4B : April 2022
$4.9B : April 2023
$5.9B : April 2024
",,,,
215,Jim Davis & family,$5.1 B,80,Massachusetts,New Balance,2,MANUFACTURING,7,"Sports, Self Made","Boca Raton, Florida",United States,Married,2,,74,1,"$1.6B : March 2015
$2.1B : March 2016
$2.5B : March 2017
$2.5B : March 2018
$2.7B : March 2019
$2.6B : April 2020
$2.8B : April 2021
$3.6B : April 2022
$4B : April 2023
$5.1B : April 2024
",,,,
215,John Henry,$5.1 B,74,Florida,Sports,1,SPORTS,5,Franklin Templeton,"Palm Beach, Florida",United States,Married,6,"Bachelor of Arts/Science, Yale University",91,3,"$6.6B : March 2015
$4.6B : March 2016
$5.8B : March 2017
$5.6B : March 2018
$5B : March 2019
$4.2B : April 2020
$4.9B : April 2021
$5.1B : April 2022
$5.1B : April 2023
$5.3B : April 2024
",,,,
215,Charles B. Johnson,$5.1 B,90,Florida,Franklin Templeton,3,FINANCE & INVESTMENTS,7,"Software, Self Made","Austin, Texas",United States,Single,,"Drop Out, Stanford University",55,,"$3B : March 2019
$3B : April 2020
$3B : April 2021
$3B : April 2022
$4.5B : April 2023
$5.1B : April 2024
",,,,
215,Joseph Liemandt,$5.1 B,55,Texas,Software,None,TECHNOLOGY,8,"Private equity, Self Made","Miami Beach, Florida",United States,,,"Bachelor of Arts/Economics, Columbia University; Master of Business Administration, Harvard Business School; Doctor of Jurisprudence, Harvard University",63,1,"$4B : April 2020
$4.5B : April 2021
$4.6B : April 2022
$5.1B : April 2023
$5.1B : April 2024
",,,,
215,Sami Mnaymneh,$5.1 B,62,Florida,Private equity,1,FINANCE & INVESTMENTS,8,"Venture capital, Self Made","San Francisco, California",United States,Married,2,"Bachelor of Arts/Science, Christ Church, Oxford University; Master of Business Administration, University of Pennsylvania, The Wharton School",69,4,"$2.6B : March 2015
$2.6B : March 2016
$3.2B : March 2017
$4B : March 2018
$3.3B : March 2019
$3.4B : April 2020
$5.7B : April 2021
$5.9B : April 2022
$4.2B : April 2023
$5.6B : April 2024
",,,,
215,Michael Moritz,$5.1 B,69,California,Venture capital,4,TECHNOLOGY,8,"Private equity, Self Made","New York, New York",United States,Married,4,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Rutgers University; Master of Science in Engineering, Stanford University",66,,"$4B : April 2020
$4.5B : April 2021
$4.6B : April 2022
$5.1B : April 2023
$5.1B : April 2024
",,,,
215,Tony Tamer,$5.1 B,65,New York,Private equity,None,FINANCE & INVESTMENTS,8,"Software, Self Made","Palo Alto, California",United States,Married,1,"Doctorate, Carnegie Mellon University; Master of Science, Carnegie Mellon University; Bachelor of Arts/Science, Indian Institute of Technology, Bombay",76,2,"$2.5B : March 2015
$2.8B : March 2016
$3B : March 2017
$3.1B : March 2018
$3.3B : March 2019
$3.4B : April 2020
$3.5B : April 2021
$4.2B : April 2022
$5.1B : April 2023
$5.1B : April 2024
",,,,
215,Romesh T. Wadhwani,$5.1 B,76,California,Software,2,TECHNOLOGY,1,Cargill,"Livingston, Montana",United States,Divorced,2,"Doctorate, Oregon State University; Bachelor of Arts/Science, University of Minnesota; Master of Science, University of Minnesota",73,1,"$3.3B : March 2015
$3.2B : March 2016
$3.9B : March 2017
$4.2B : March 2018
$4B : March 2019
$2.7B : April 2020
$3.6B : April 2021
$5B : April 2022
$3.9B : April 2023
$4.2B : April 2024
",,,,
224,"Austen Cargill, II.",$5 B,72,Montana,Cargill,1,FOOD & BEVERAGE,1,Cargill,"Birchwood, Wisconsin",United States,Married,2,,75,1,"$3.3B : March 2015
$3.2B : March 2016
$3.9B : March 2017
$4.2B : March 2018
$4B : March 2019
$2.7B : April 2020
$3.6B : April 2021
$5B : April 2022
$3.9B : April 2023
$4.2B : April 2024
",,,,
224,"James Cargill, II.",$5 B,74,Wisconsin,Cargill,1,FOOD & BEVERAGE,1,Cargill,"Bozeman, Montana",United States,Married,2,"Bachelor of Arts/Science, Montana State University",71,1,"$3.3B : March 2015
$3.2B : March 2016
$3.9B : March 2017
$4.2B : March 2018
$4B : March 2019
$2.7B : April 2020
$3.6B : April 2021
$5B : April 2022
$3.9B : April 2023
$4.2B : April 2024
",,,,
224,Marianne Liebmann,$5 B,70,Montana,Cargill,1,FOOD & BEVERAGE,1,"Computer services, real estate","Dallas, Texas",United States,Widowed,5,"Bachelor of Arts/Science, Goucher College",90,2,"$4B : April 2020
$4.1B : April 2021
$4.3B : April 2022
$4.4B : April 2023
$4.9B : April 2024
",,,,
227,Margot Birmingham Perot,$4.9 B,89,Texas,"Computer services, real estate",2,TECHNOLOGY,4,Oil,,United States,,5,"Bachelor of Arts/Science, Washington & Lee University",,1,"$1.7B : March 2015
$1.7B : March 2016
$2B : March 2017
$2.3B : March 2018
$2B : March 2019
$1.4B : April 2020
$2B : April 2021
$4.3B : April 2022
$3.9B : April 2023
$4.7B : April 2024
",,,,
227,W. Herbert Hunt,$4.9 B,94,Texas,Oil,1,ENERGY,3,Cleaning products,"Racine, Wisconsin",United States,Married,5,"Bachelor of Arts/Science, Cornell University",67,2,"$3.1B : March 2015
$3.3B : March 2016
$3.8B : March 2017
$3.7B : March 2018
$3.8B : March 2019
$3.3B : April 2020
$3.6B : April 2021
$3.3B : April 2022
$4.8B : April 2023
$5B : April 2024
",,,,
227,Helen Johnson-Leipold,$4.9 B,66,Wisconsin,Cleaning products,2,MANUFACTURING,9,"Email marketing, Self Made","Atlanta, Georgia",United States,Married,2,"High School Graduate, High School",52,,"$2.1B : March 2019
$2.2B : April 2020
$3B : April 2021
$5B : April 2022
$4B : April 2023
$5.3B : April 2024
",,,,
227,Dan Kurzius,$4.9 B,51,Georgia,Email marketing,None,TECHNOLOGY,8,"Star Wars, Self Made","San Anselmo, California",United States,Married,4,"Bachelor of Arts/Science, University of Southern California",80,4,"$5B : March 2015
$4.5B : March 2016
$5.3B : March 2017
$5.2B : March 2018
$5.4B : March 2019
$4.6B : April 2020
$7.4B : April 2021
$6.1B : April 2022
$5B : April 2023
$5.5B : April 2024
",,,,
227,George Lucas,$4.9 B,79,California,Star Wars,4,MEDIA & ENTERTAINMENT,7,"Oil & gas, Self Made","Dallas, Texas",United States,Married,2,"Bachelor of Arts/Science, Dartmouth College; Doctor of Jurisprudence, Southern Methodist University",72,4,"$4.3B : March 2015
$5.2B : March 2016
$5.3B : March 2017
$4.8B : March 2018
$4.3B : March 2019
$3.7B : April 2020
$4B : April 2021
$4.5B : April 2022
$3.8B : April 2023
$4.9B : April 2024
",,,,
227,Trevor Rees-Jones,$4.9 B,72,Texas,Oil & gas,4,ENERGY,8,"Bloomberg LP, Self Made","Croton-on-Hudson, New York",United States,Married,2,"Bachelor of Arts/Science, SUNY Binghamton",70,2,"$1.8B : March 2015
$2B : March 2016
$2.4B : March 2017
$2.6B : March 2018
$2.8B : March 2019
$3B : April 2020
$3.5B : April 2021
$4.1B : April 2022
$4.7B : April 2023
$5.4B : April 2024
",,,,
227,Thomas Secunda,$4.9 B,69,New York,Bloomberg LP,2,FINANCE & INVESTMENTS,9,"Pharmaceuticals, Self Made","Los Angeles, California",United States,Married,2,"Master of Science, University of British Columbia; Bachelor of Arts/Science, University of Witwatersrand; Medical Doctor, University of Witwatersrand",72,2,"$12.2B : March 2015
$11.9B : March 2016
$8.6B : March 2017
$7.8B : March 2018
$7B : March 2019
$6.4B : April 2020
$7.5B : April 2021
$7.3B : April 2022
$5.8B : April 2023
$6.2B : April 2024
",,,,
227,Patrick Soon-Shiong,$4.9 B,71,California,Pharmaceuticals,2,HEALTHCARE,7,"Packaging materials, Self Made","Lake Forest, Illinois",United States,Married,3,,79,2,"$3.8B : April 2023
$5.2B : April 2024
",,,,
227,Elizabeth Uihlein,$4.9 B,78,Illinois,Packaging materials,2,MANUFACTURING,7,"Packaging materials, Self Made","Lake Forest, Illinois",United States,Married,3,"Bachelor of Arts/Science, Stanford University",78,2,"$3.8B : April 2023
$5.2B : April 2024
",,,,
227,Richard Uihlein,$4.9 B,78,Illinois,Packaging materials,2,MANUFACTURING,9,"Furniture, Self Made","Saint Petersburg, Florida",United States,Married,3,"High School Graduate, High School",83,2,"$2B : March 2015
$1.5B : March 2016
$2B : March 2017
$2.1B : March 2018
$1.8B : March 2019
$2B : April 2020
$6B : April 2021
$5.5B : April 2022
$5.3B : April 2023
$5.3B : April 2024
",,,,
227,Ronald Wanek,$4.9 B,82,Florida,Furniture,2,MANUFACTURING,3,Cleaning products,"Racine, Wisconsin",United States,Divorced,1,"Bachelor of Arts/Science, Cornell University; Doctorate, Cornell University; Master of Science, Cornell University; Master of Business Administration, Samuel Curtis Johnson Graduate School of Management",66,2,"$3.1B : March 2015
$3.3B : March 2016
$3.8B : March 2017
$3.7B : March 2018
$3.8B : March 2019
$3.3B : April 2020
$3.5B : April 2021
$3.3B : April 2022
$4.8B : April 2023
$4.9B : April 2024
",,,,
238,H. Fisk Johnson,$4.8 B,65,Wisconsin,Cleaning products,2,MANUFACTURING,1,Cleaning products,"Racine, Wisconsin",United States,Married,4,"Bachelor of Arts/Science, Cornell University; Master of Business Administration, Kellogg School of Management",69,2,"$3.1B : March 2015
$3.3B : March 2016
$3.8B : March 2017
$3.7B : March 2018
$3.8B : March 2019
$3.3B : April 2020
$3.6B : April 2021
$3.3B : April 2022
$4.8B : April 2023
$4.9B : April 2024
",,,,
238,S. Curtis Johnson,$4.8 B,68,Wisconsin,Cleaning products,2,MANUFACTURING,2,Cleaning products,"Virginia Beach, Virginia",United States,Married,4,"Drop Out, Cornell University",65,2,"$3.1B : March 2015
$3.3B : March 2016
$3.8B : March 2017
$3.7B : March 2018
$3.8B : March 2019
$3.3B : April 2020
$3.6B : April 2021
$3.3B : April 2022
$4.8B : April 2023
$4.9B : April 2024
",,,,
238,Winifred J. Marquart,$4.8 B,64,Virginia,Cleaning products,2,MANUFACTURING,8,"Billboards, Los Angeles Angels, Self Made","Phoenix, Arizona",United States,Married,3,"Bachelor of Arts/Science, University of Arizona",77,2,"$1.5B : March 2015
$1.8B : March 2016
$2.1B : March 2017
$2.5B : March 2018
$3B : March 2019
$3.3B : April 2020
$3.4B : April 2021
$3.6B : April 2022
$4.1B : April 2023
$4.9B : April 2024
",,,,
238,Arturo Moreno,$4.8 B,77,Arizona,"Billboards, Los Angeles Angels",2,SPORTS,8,"Movies, Self Made","Pacific Palisades, California",United States,Married,7,"Bachelor of Arts/Science, California State Long Beach",77,3,"$3.6B : March 2015
$3.5B : March 2016
$3.7B : March 2017
$3.6B : March 2018
$3.7B : March 2019
$3.6B : April 2020
$3.7B : April 2021
$3.7B : April 2022
$4B : April 2023
$4.8B : April 2024
",,,,
238,Steven Spielberg,$4.8 B,76,California,Movies,3,MEDIA & ENTERTAINMENT,8,"Energy drinks, Self Made","Delray Beach, Florida",United States,Single,,"Bachelor of Arts/Science, San Diego State University",54,1,"$2.1B : March 2015
$3.4B : March 2016
$4B : March 2017
$4.4B : March 2018
$4.1B : March 2019
$4B : April 2020
$3.7B : April 2021
$4.1B : April 2022
$4.6B : April 2023
$5.2B : April 2024
",,,,
238,Russ Weiner,$4.8 B,53,Florida,Energy drinks,1,FOOD & BEVERAGE,9,"Cable television, Self Made","Oyster Bay, New York",United States,Widowed,6,"Drop Out, John Carroll University",97,2,"$4.3B : March 2015
$5B : March 2016
$4.6B : March 2017
$4.9B : March 2018
$5.5B : March 2019
$4.6B : April 2020
$6.1B : April 2021
$5.4B : April 2022
$4.6B : April 2023
$5.2B : April 2024
",,,,
244,Charles Dolan & family,$4.7 B,96,New York,Cable television,2,MEDIA & ENTERTAINMENT,9,"IT provider, Self Made","St. Louis, Missouri",United States,,,"Bachelor of Arts/Science, St. Louis University",61,1,"$1.9B : March 2019
$2.2B : April 2020
$2.3B : April 2021
$3.4B : April 2022
$3.7B : April 2023
$4.7B : April 2024
",,,,
244,Jim Kavanaugh,$4.7 B,60,Missouri,IT provider,1,TECHNOLOGY,5,Estee Lauder,"New York, New York",United States,Married,2,"Bachelor of Arts/Science, University of Pennsylvania, The Wharton School",80,3,"$3.9B : March 2015
$3.5B : March 2016
$3.2B : March 2017
$4B : March 2018
$3.9B : March 2019
$4B : April 2020
$5.5B : April 2021
$5B : April 2022
$4.6B : April 2023
$4.6B : April 2024
",,,,
244,Ronald Lauder,$4.7 B,79,New York,Estee Lauder,3,FASHION & RETAIL,7,"Manufacturing, investments, Self Made","Potomac, Maryland",United States,Married,2,"Bachelor of Arts/Science, Miami University of Ohio",67,2,"$4B : March 2015
$3.4B : March 2016
$4.5B : March 2017
$3.5B : March 2018
$3.6B : March 2019
$3.7B : April 2020
$6.2B : April 2021
$5.8B : April 2022
$5.5B : April 2023
$4.9B : April 2024
",,,,
244,Mitchell Rales,$4.7 B,67,Maryland,"Manufacturing, investments",2,MANUFACTURING,1,Medical equipment,"New York, New York",United States,Married,2,"Bachelor of Arts/Science, Kalamazoo College; Master of Architecture, University of California, Berkeley",66,4,"$2B : March 2015
$1.9B : March 2016
$2.5B : March 2017
$2.9B : March 2018
$3.4B : March 2019
$2.7B : April 2020
$4.1B : April 2021
$4.2B : April 2022
$4.3B : April 2023
$5.4B : April 2024
",,,,
244,Jon Stryker,$4.7 B,65,New York,Medical equipment,4,HEALTHCARE,8,"Email marketing, Self Made","Atlanta, Georgia",United States,Married,2,"Bachelor of Arts/Science, Georgia Institute of Technology",50,1,"$2.1B : March 2019
$2.2B : April 2020
$3B : April 2021
$5B : April 2022
$4B : April 2023
$5B : April 2024
",,,,
249,Ben Chestnut,$4.6 B,49,Georgia,Email marketing,1,TECHNOLOGY,8,"Airline, Self Made","Miami, Florida",United States,Married,1,"Bachelor of Science in Engineering, Indian Institute of Technology; Master of Business Administration, University of Pennsylvania, The Wharton School",71,,"$1.9B : March 2016
$2.1B : March 2017
$3.3B : March 2018
$2.9B : March 2019
$2.4B : April 2020
$3.9B : April 2021
$4B : April 2022
$3.8B : April 2023
$4.8B : April 2024
",,,,
249,Rakesh Gangwal,$4.6 B,70,Florida,Airline,None,SERVICE,8,"Digital advertising, Self Made","Newbury Park, California",United States,,,"Bachelor of Arts/Science, University of Southern California",47,1,"$1.1B : March 2019
$3.8B : April 2021
$3.4B : April 2022
$3.1B : April 2023
$4.5B : April 2024
",David Falk,FAME,,
249,Jeff T. Green,$4.6 B,46,California,Digital advertising,1,MEDIA & ENTERTAINMENT,8,"Homebuilding, Self Made",,United States,,2,"Bachelor of Arts/Science, University of Central Arkansas",,1,"$1.3B : March 2006
$1B : March 2019
$2.4B : April 2021
$2.5B : April 2022
$2.9B : April 2023
$5.9B : April 2024
",,,,
249,Donald Horton & family,$4.6 B,73,Texas,Homebuilding,1,REAL ESTATE,7,"Trucking, Self Made","Fayetteville, Arkansas",United States,Widowed,2,"Drop Out, University of Central Arkansas",92,2,"$2.3B : March 2015
$2.1B : March 2016
$2.7B : March 2017
$3B : March 2018
$2.8B : March 2019
$2.5B : April 2020
$3.9B : April 2021
$4.7B : April 2022
$4.3B : April 2023
$4.9B : April 2024
",,,,
249,Johnelle Hunt,$4.6 B,91,Arkansas,Trucking,2,LOGISTICS,4,Philadelphia Eagles,"Wynnewood, Pennsylvania",United States,Married,2,"Doctorate, Brandeis University; Bachelor of Arts/Science, Clark University",72,2,"$1.1B : March 2015
$1.8B : March 2016
$1.8B : March 2017
$2B : March 2018
$2.1B : March 2019
$2.7B : April 2020
$3B : April 2021
$3.5B : April 2022
$4.4B : April 2023
$4.6B : April 2024
",,,,
249,Jeffrey Lurie & family,$4.6 B,72,Pennsylvania,Philadelphia Eagles,2,SPORTS,5,U-Haul,"Phoenix, Arizona",United States,Married,1,"Bachelor of Arts/Science, College of the Holy Cross",73,,"$4.6B : March 2015
$4.6B : March 2016
$2.9B : March 2017
$3.2B : March 2018
$3.2B : March 2019
$2.9B : April 2020
$3.9B : April 2021
$4.7B : April 2022
$4.9B : April 2023
$5B : April 2024
",,,,
249,Mark Shoen,$4.6 B,72,Arizona,U-Haul,None,AUTOMOTIVE,10,"Investments, Self Made","Coral Gables, Florida",United States,Married,2,"Associate in Arts/Science, Brevard Community College; Bachelor of Arts/Science, Southern College of Optometry; Doctorate, Southern College of Optometry",85,1,"$2.4B : March 2019
$2.4B : April 2020
$3.7B : April 2021
$4B : April 2022
$4.3B : April 2023
$4.9B : April 2024
",,,,
249,Herbert Wertheim,$4.6 B,84,Florida,Investments,1,FINANCE & INVESTMENTS,8,"Cybersecurity, Self Made","Los Altos Hills, California",United States,Married,,"Master of Science, Stanford University; Bachelor of Science, Tsinghua University; Master of Science, Tsinghua University",61,1,"$1.3B : April 2020
$4.2B : April 2021
$5.7B : April 2022
$4.1B : April 2023
$5B : April 2024
",,,,
249,Ken Xie,$4.6 B,60,California,Cybersecurity,1,TECHNOLOGY,1,"Media, automotive","Palisades, New York",United States,Married,2,"Bachelor of Arts/Science, Bard College",67,2,"$6.4B : March 2016
$8.1B : March 2017
$8.7B : March 2018
$6.2B : March 2019
$5.1B : April 2020
$6.2B : April 2021
$5.2B : April 2022
$5.5B : April 2023
$4B : April 2024
",,,,
258,James Chambers,$4.5 B,66,New York,"Media, automotive",2,MEDIA & ENTERTAINMENT,8,"Navigation equipment, Self Made","Leawood, Kansas",United States,Married,2,"Bachelor of Arts/Science, National Taiwan University; Doctorate, University of Tennessee Knoxville; Master of Science, University of Tennessee Knoxville",75,2,"$3B : March 2015
$2.2B : March 2016
$2.9B : March 2017
$3.4B : March 2018
$3.5B : March 2019
$3.5B : April 2020
$4.5B : April 2021
$4.6B : April 2022
$4.2B : April 2023
$5.2B : April 2024
",,,,
258,Min Kao & family,$4.5 B,74,Kansas,Navigation equipment,2,TECHNOLOGY,8,"Smartphones, Self Made","Beijing, China",United States,Married,,"Master, Drexel University; Bachelor of Arts/Science, Sun Yat-sen University",56,,"$1.4B : March 2015
$1.1B : March 2016
$3.6B : March 2019
$3.5B : April 2020
$8.7B : April 2021
$5.1B : April 2022
$4.2B : April 2023
$4.7B : April 2024
",,,,
258,Lin Bin,$4.5 B,55,,Smartphones,None,TECHNOLOGY,1,"Media, automotive","East Hampton, New York",United States,Widowed,,"Bachelor of Arts/Science, Sarah Lawrence college",79,2,"$6.4B : March 2016
$8.1B : March 2017
$8.7B : March 2018
$6.2B : March 2019
$5.1B : April 2020
$6.2B : April 2021
$5.2B : April 2022
$5.5B : April 2023
$4B : April 2024
",,,,
258,Katharine Rayner,$4.5 B,78,New York,"Media, automotive",2,MEDIA & ENTERTAINMENT,1,"Oil & gas, investments","Tulsa, Oklahoma",United States,Widowed,3,"Drop Out, University of Miami",85,5,"$3.7B : March 2015
$3.4B : March 2016
$3.1B : March 2017
$3.2B : March 2018
$3.2B : March 2019
$3.4B : April 2020
$3.4B : April 2021
$3.5B : April 2022
$3.2B : April 2023
$4.5B : April 2024
",,,,
258,Lynn Schusterman & family,$4.5 B,84,Oklahoma,"Oil & gas, investments",5,ENERGY,1,"Media, automotive","Southampton, New York",United States,,2,"Bachelor of Arts/Science, Finch College",82,2,"$6.4B : March 2016
$8.1B : March 2017
$8.7B : March 2018
$6.2B : March 2019
$5.1B : April 2020
$6.2B : April 2021
$5.2B : April 2022
$5.5B : April 2023
$4B : April 2024
",,,,
258,Margaretta Taylor,$4.5 B,81,New York,"Media, automotive",2,MEDIA & ENTERTAINMENT,8,"Staffing & recruiting, Self Made","Cockeysville, Maryland",United States,Married,2,"Bachelor of Arts/Science, Villanova University",64,3,"$1.1B : March 2015
$1.2B : March 2016
$2.5B : March 2017
$2.8B : March 2018
$2.8B : March 2019
$2.6B : April 2020
$3.4B : April 2021
$4.3B : April 2022
$4.4B : April 2023
$4.4B : April 2024
",,,,
264,Jim Davis,$4.4 B,63,Maryland,Staffing & recruiting,3,SERVICE,6,"EBay, Self Made","Los Angeles, California",United States,Single,,"Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts/Science, University of Toronto",59,5,"$3.9B : March 2015
$3.9B : March 2016
$4.3B : March 2017
$4.8B : March 2018
$4.7B : March 2019
$4.6B : April 2020
$6B : April 2021
$4.8B : April 2022
$4.2B : April 2023
$4.5B : April 2024
",,,,
264,Jeff Skoll,$4.4 B,58,California,EBay,5,TECHNOLOGY,8,"Zoom Video Communications, Self Made","Santa Clara, California",United States,Married,3,"Master of Engineering Management, China University of Mining and Technology; Bachelor of Engineering, Shandong Institute of Business and Technology",54,,"$5.5B : April 2020
$14.9B : April 2021
$5.2B : April 2022
$3.4B : April 2023
$4.2B : April 2024
",,,,
